review,label
商务大床房，房间很大，床有2M宽，整体感觉经济实惠不错！,1
宾馆在小街道上，不大好找，但还好北京热心同胞很多~宾馆设施跟介绍的差不多，房间很小，确实挺小，但加上低价位因素，还是无超所值的；环境不错，就在小胡同内，安静整洁，暖气好足,1
CBD中心，周围没什么店铺，说5星有点勉强。不知道为什么卫生间没有电吹风,0
总的来说，这样的酒店配这样的价格还算可以，希望他赶快装修，给我的客人留些好的印象,1
CBD中心，周围没什么店铺，说5星有点勉强。不知道为什么卫生间没有电吹风,0
CBD中心，周围没什么店铺，说5星有点勉强。不知道为什么卫生间没有电吹风,0
不错，在同等档次酒店中应该是值得推荐的！,1
CBD中心，周围没什么店铺，说5星有点勉强。不知道为什么卫生间没有电吹风,0
入住商品，感觉很好。因为是新酒店，的确有淡淡的油漆味，房间内较新。房间大小合适，卫生间设备齐全，服务态度也很好。网速可能是提升了吧，感觉还好。,1
距离川沙公路较近，但是公交指示不对，如果是'终点线'的音，会非常麻烦。建议用别的路线，房间较为简单。,1
酒店比较新，装潢和设施还不错，只是房间有些油漆味。早餐还可以，只是品种不是很多。交通比较方便，周围的小饭店比较多。,1
CBD中心，周围没什么店铺，说5星有点勉强。不知道为什么卫生间没有电吹风,0
价格比较不错的酒店，这次免费升级了，感谢前台服务员。房子还好，地毯是新的，比上次的好些。早餐的人很多要早去些。,1
CBD中心，周围没什么店铺，说5星有点勉强。不知道为什么卫生间没有电吹风,0
商务大床房，房间很大，床有2M宽，整体感觉经济实惠不错！,1
入住商品，感觉很好。因为是新酒店，的确有淡淡的油漆味，房间内较新。房间大小合适，卫生间设备齐全，服务态度也很好。网速可能是提升了吧，感觉还好。,1
总的来说，这样的酒店配这样的价格还算可以，希望他赶快装修，给我的客人留些好的印象,1
距离川沙公路较近，但是公交指示不对，如果是'终点线'的音，会非常麻烦。建议用别的路线，房间较为简单。,1
价格比较不错的酒店，这次免费升级了，感谢前台服务员。房子还好，地毯是新的，比上次的好些。早餐的人很多要早去些。,1
入住商品，感觉很好。因为是新酒店，的确有淡淡的油漆味，房间内较新。房间大小合适，卫生间设备齐全，服务态度也很好。网速可能是提升了吧，感觉还好。,1
距离川沙公路较近，但是公交指示不对，如果是'终点线'的音，会非常麻烦。建议用别的路线，房间较为简单。,1
商务大床房，房间很大，床有2M宽，整体感觉经济实惠不错！,1
距离川沙公路较近，但是公交指示不对，如果是'终点线'的音，会非常麻烦。建议用别的路线，房间较为简单。,1
价格比较不错的酒店，这次免费升级了，感谢前台服务员。房子还好，地毯是新的，比上次的好些。早餐的人很多要早去些。,1
价格比较不错的酒店，这次免费升级了，感谢前台服务员。房子还好，地毯是新的，比上次的好些。早餐的人很多要早去些。,1
商务大床房，房间很大，床有2M宽，整体感觉经济实惠不错！,1
不错，在同等档次酒店中应该是值得推荐的！,1
商务大床房，房间很大，床有2M宽，整体感觉经济实惠不错！,1
商务大床房，房间很大，床有2M宽，整体感觉经济实惠不错！,1
CBD中心，周围没什么店铺，说5星有点勉强。不知道为什么卫生间没有电吹风,0
总的来说，这样的酒店配这样的价格还算可以，希望他赶快装修，给我的客人留些好的印象,1
价格比较不错的酒店，这次免费升级了，感谢前台服务员。房子还好，地毯是新的，比上次的好些。早餐的人很多要早去些。,1
距离川沙公路较近，但是公交指示不对，如果是'终点线'的音，会非常麻烦。建议用别的路线，房间较为简单。,1
宾馆在小街道上，不大好找，但还好北京热心同胞很多~宾馆设施跟介绍的差不多，房间很小，确实挺小，但加上低价位因素，还是无超所值的；环境不错，就在小胡同内，安静整洁，暖气好足,1
早餐太差，无论去多少人，那边也不加食品的。酒店应该重视一下这个问题了。房间本身很好。,0
宾馆在小街道上，不大好找，但还好北京热心同胞很多~宾馆设施跟介绍的差不多，房间很小，确实挺小，但加上低价位因素，还是无超所值的；环境不错，就在小胡同内，安静整洁，暖气好足,1
酒店比较新，装潢和设施还不错，只是房间有些油漆味。早餐还可以，只是品种不是很多。交通比较方便，周围的小饭店比较多。,1
距离川沙公路较近，但是公交指示不对，如果是'终点线'的音，会非常麻烦。建议用别的路线，房间较为简单。,1
酒店比较新，装潢和设施还不错，只是房间有些油漆味。早餐还可以，只是品种不是很多。交通比较方便，周围的小饭店比较多。,1
宾馆在小街道上，不大好找，但还好北京热心同胞很多~宾馆设施跟介绍的差不多，房间很小，确实挺小，但加上低价位因素，还是无超所值的；环境不错，就在小胡同内，安静整洁，暖气好足,1
CBD中心，周围没什么店铺，说5星有点勉强。不知道为什么卫生间没有电吹风,0
宾馆在小街道上，不大好找，但还好北京热心同胞很多~宾馆设施跟介绍的差不多，房间很小，确实挺小，但加上低价位因素，还是无超所值的；环境不错，就在小胡同内，安静整洁，暖气好足,1
总的来说，这样的酒店配这样的价格还算可以，希望他赶快装修，给我的客人留些好的印象,1
总的来说，这样的酒店配这样的价格还算可以，希望他赶快装修，给我的客人留些好的印象,1
宾馆在小街道上，不大好找，但还好北京热心同胞很多~宾馆设施跟介绍的差不多，房间很小，确实挺小，但加上低价位因素，还是无超所值的；环境不错，就在小胡同内，安静整洁，暖气好足,1
不错，在同等档次酒店中应该是值得推荐的！,1
距离川沙公路较近，但是公交指示不对，如果是'终点线'的音，会非常麻烦。建议用别的路线，房间较为简单。,1
商务大床房，房间很大，床有2M宽，整体感觉经济实惠不错！,1
总的来说，这样的酒店配这样的价格还算可以，希望他赶快装修，给我的客人留些好的印象,1
早餐太差，无论去多少人，那边也不加食品的。酒店应该重视一下这个问题了。房间本身很好。,0
早餐太差，无论去多少人，那边也不加食品的。酒店应该重视一下这个问题了。房间本身很好。,0
早餐太差，无论去多少人，那边也不加食品的。酒店应该重视一下这个问题了。房间本身很好。,0
商务大床房，房间很大，床有2M宽，整体感觉经济实惠不错！,1
距离川沙公路较近，但是公交指示不对，如果是'终点线'的音，会非常麻烦。建议用别的路线，房间较为简单。,1
宾馆在小街道上，不大好找，但还好北京热心同胞很多~宾馆设施跟介绍的差不多，房间很小，确实挺小，但加上低价位因素，还是无超所值的；环境不错，就在小胡同内，安静整洁，暖气好足,1
总的来说，这样的酒店配这样的价格还算可以，希望他赶快装修，给我的客人留些好的印象,1
入住商品，感觉很好。因为是新酒店，的确有淡淡的油漆味，房间内较新。房间大小合适，卫生间设备齐全，服务态度也很好。网速可能是提升了吧，感觉还好。,1
入住商品，感觉很好。因为是新酒店，的确有淡淡的油漆味，房间内较新。房间大小合适，卫生间设备齐全，服务态度也很好。网速可能是提升了吧，感觉还好。,1
CBD中心，周围没什么店铺，说5星有点勉强。不知道为什么卫生间没有电吹风,0
入住商品，感觉很好。因为是新酒店，的确有淡淡的油漆味，房间内较新。房间大小合适，卫生间设备齐全，服务态度也很好。网速可能是提升了吧，感觉还好。,1
CBD中心，周围没什么店铺，说5星有点勉强。不知道为什么卫生间没有电吹风,0
早餐太差，无论去多少人，那边也不加食品的。酒店应该重视一下这个问题了。房间本身很好。,0
宾馆在小街道上，不大好找，但还好北京热心同胞很多~宾馆设施跟介绍的差不多，房间很小，确实挺小，但加上低价位因素，还是无超所值的；环境不错，就在小胡同内，安静整洁，暖气好足,1
宾馆在小街道上，不大好找，但还好北京热心同胞很多~宾馆设施跟介绍的差不多，房间很小，确实挺小，但加上低价位因素，还是无超所值的；环境不错，就在小胡同内，安静整洁，暖气好足,1
酒店比较新，装潢和设施还不错，只是房间有些油漆味。早餐还可以，只是品种不是很多。交通比较方便，周围的小饭店比较多。,1
酒店比较新，装潢和设施还不错，只是房间有些油漆味。早餐还可以，只是品种不是很多。交通比较方便，周围的小饭店比较多。,1
商务大床房，房间很大，床有2M宽，整体感觉经济实惠不错！,1
价格比较不错的酒店，这次免费升级了，感谢前台服务员。房子还好，地毯是新的，比上次的好些。早餐的人很多要早去些。,1
入住商品，感觉很好。因为是新酒店，的确有淡淡的油漆味，房间内较新。房间大小合适，卫生间设备齐全，服务态度也很好。网速可能是提升了吧，感觉还好。,1
商务大床房，房间很大，床有2M宽，整体感觉经济实惠不错！,1
早餐太差，无论去多少人，那边也不加食品的。酒店应该重视一下这个问题了。房间本身很好。,0
商务大床房，房间很大，床有2M宽，整体感觉经济实惠不错！,1
不错，在同等档次酒店中应该是值得推荐的！,1
